                    wiederholen;                    repasar
                    Lektion;                    lección
                    einfach;                    fácil
                    Geografie;                    geografía
                    aus, Aus, der;                    de
                    super;                    súper
                    Japanisch;                    japonés
                    schwer;                    difícil
                    Aufgabe;                    ejercicio
                    online;                    en línea
                    vor, die, der;                    la
                    Chinesisch;                    chino
                    Literatur;                    literatura
                    klassenräume, Stunde, Unterrichts;                    clase
                    Russisch, russische;                    ruso
                    Geschichte;                    historia
                    die, der, das;                    el
                    so ist es;                    así es
                    arbeiten;                    trabajar
                    Lehrer;                    maestro
                    Schule;                    colegio
                    vier;                    cuatro
                    Arabisch;                    árabe
                    langweilig;                    aburrido
                    Spanien;                    España
                    Podcast;                    pódcast
                    spazieren gehen;                    pasear
                    lieblings, Lieblingscharakter, Lieblingsbuch;                    favorito
                    Person, Mensch, Menschen;                    persona
                    also;                    entonces
                    sind aus, seid aus;                    son de
                    beginnt, fängt an, läuft an;                    empieza
                    morgen;                    mañana
                    töpferkurs, Kurses, seminare;                    curso
                    interessant;                    interesante
                    Entschuldigung;                    perdón
                    Tango;                    tango
                    schlecht;                    mal
                    Yoga, yoga;                    yoga
                    unterrichten;                    enseñar
                    zeichnen;                    dibujar
                    Inlineskates fahren;                    patinar
                    Nachbar;                    vecino
                    angeln, Angeln, fisches;                    pescar
                    weil;                    porque
                    immer;                    siempre
                    athletisch, sportlicher;                    atlético
                    spazieren;                    caminar
                    ausruhen;                    descansar
                    Trainer;                    entrenador
                    ehrlich gesagt;                    honestamente
                    Baseball;                    béisbol
                    ah, ach, oh;                    ah
                    sie;                    ellos
                    faul;                    perezoso
                    Basketball;                    básquetbol
                    nicht mehr;                    ya no
                    sie;                    ellas
                    oft;                    a menudo
                    Ski fahren;                    esquiar
                    jeden Tag;                    todos los días
                    Tennis;                    tenis
                    rüstung, wettkampf, Gerät;                    equipo
                    Swimmingpool;                    piscina
                    schwimmen;                    nadar
                    häufig;                    frecuentemente
                    im Freien;                    al aire libre
                    Fußball;                    fútbol
                    treiben, Treibe, üben;                    practicar
                    trainieren;                    entrenar
                    Fitnessstudio;                    gimnasio
                    Reis;                    arroz
                    nachmittags;                    por la tarde
                    mit Hühnchen;                    con pollo
                    kochen;                    cocinar
                    Suppe, brühe;                    sopa
                    nudel, Nudeln, Pasta;                    pasta
                    wir;                    nosotras
                    Wir sind, sind, Sind;                    somos
                    wir;                    nosotros
                    Ihres, seiner, Ihren;                    su
                    malen;                    pintar
                    Geschwister;                    hermanos
                    mit dem Auto;                    en coche
                    mit dem Zug;                    en tren
                    also;                    bueno
                    reisen;                    viajar
                    Sie;                    ustedes
                    machst du;                    qué haces
                    disco, Diskothek, Disco;                    discoteca
                    schauen;                    mirar
                    Film;                    película
                    hören;                    escuchar
                    Freizeit;                    tiempo libre
                    soße, Soße, Tunke;                    salsa
                    macht Spaß;                    es divertido
                    singen;                    cantar
                    tanzen;                    bailar
                    Ich ... gerne, Ich mag, mag;                    me gusta
                    viele;                    muchos
                    Parks;                    parques
                    Straße;                    calle
                    Restaurants, Restaurant, restaurant;                    restaurante
                    Supermarkt;                    supermercado
                    sehr;                    muy
                    hat, ist, haben;                    tiene
                    terrasse, Terrasse, Außenterrasse;                    terraza
